City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Royal Palm Beach,FL,2013,0,0,Florida,"royal palm beach, florida",26.7083984,-80.2306019
Royal Palm Beach,FL,2014,0,0,Florida,"royal palm beach, florida",26.7083984,-80.2306019
Royal Palm Beach,FL,2015,0,0,Florida,"royal palm beach, florida",26.7083984,-80.2306019
West Palm Beach,FL,2010,0,0,Florida,"west palm beach, florida",26.714394,-80.053188
West Palm Beach,FL,2011,0,0,Florida,"west palm beach, florida",26.714394,-80.053188
West Palm Beach,FL,2012,0,0,Florida,"west palm beach, florida",26.714394,-80.053188
West Palm Beach,FL,2013,0,0,Florida,"west palm beach, florida",26.714394,-80.053188
West Palm Beach,FL,2014,0,1,Florida,"west palm beach, florida",26.714394,-80.053188
West Palm Beach,FL,2015,1,0,Florida,"west palm beach, florida",26.714394,-80.053188
North Palm Beach,FL,2010,0,0,Florida,"north palm beach, florida",26.8171165,-80.0590804
North Palm Beach,FL,2011,0,0,Florida,"north palm beach, florida",26.8171165,-80.0590804
North Palm Beach,FL,2012,0,0,Florida,"north palm beach, florida",26.8171165,-80.0590804
North Palm Beach,FL,2013,0,0,Florida,"north palm beach, florida",26.8171165,-80.0590804
North Palm Beach,FL,2014,0,0,Florida,"north palm beach, florida",26.8171165,-80.0590804
North Palm Beach,FL,2015,0,1,Florida,"north palm beach, florida",26.8171165,-80.0590804
Palm Beach Gardens,FL,2010,1,0,Florida,"palm beach gardens, florida",26.8233946,-80.1386547
Palm Beach Gardens,FL,2011,0,0,Florida,"palm beach gardens, florida",26.8233946,-80.1386547
Palm Beach Gardens,FL,2012,0,0,Florida,"palm beach gardens, florida",26.8233946,-80.1386547
Palm Beach Gardens,FL,2013,0,0,Florida,"palm beach gardens, florida",26.8233946,-80.1386547
Palm Beach Gardens,FL,2014,0,0,Florida,"palm beach gardens, florida",26.8233946,-80.1386547
Palm Beach Gardens,FL,2015,0,0,Florida,"palm beach gardens, florida",26.8233946,-80.1386547
North Port,FL,2010,1,0,Florida,"north port, florida",27.044224,-82.2359254
North Port,FL,2011,0,0,Florida,"north port, florida",27.044224,-82.2359254
North Port,FL,2012,0,0,Florida,"north port, florida",27.044224,-82.2359254
North Port,FL,2013,0,0,Florida,"north port, florida",27.044224,-82.2359254
North Port,FL,2014,0,0,Florida,"north port, florida",27.044224,-82.2359254
North Port,FL,2015,0,0,Florida,"north port, florida",27.044224,-82.2359254
Stuart,FL,2010,0,0,Florida,"stuart, florida",27.197548,-80.2528257
Stuart,FL,2011,0,0,Florida,"stuart, florida",27.197548,-80.2528257
Stuart,FL,2012,1,1,Florida,"stuart, florida",27.197548,-80.2528257
Stuart,FL,2013,0,0,Florida,"stuart, florida",27.197548,-80.2528257
Stuart,FL,2014,0,0,Florida,"stuart, florida",27.197548,-80.2528257
Stuart,FL,2015,0,0,Florida,"stuart, florida",27.197548,-80.2528257
Port St. Lucie,FL,2010,1,0,Florida,"port st. lucie, florida",27.2730492,-80.3582261
Port St. Lucie,FL,2011,1,0,Florida,"port st. lucie, florida",27.2730492,-80.3582261
Port St. Lucie,FL,2012,1,0,Florida,"port st. lucie, florida",27.2730492,-80.3582261
Port St. Lucie,FL,2013,0,0,Florida,"port st. lucie, florida",27.2730492,-80.3582261
Port St. Lucie,FL,2014,0,0,Florida,"port st. lucie, florida",27.2730492,-80.3582261
Port St. Lucie,FL,2015,0,0,Florida,"port st. lucie, florida",27.2730492,-80.3582261
Corpus Christi,TX,2010,1,0,Texas,"corpus christi, texas",27.796413,-97.403737
Corpus Christi,TX,2011,0,0,Texas,"corpus christi, texas",27.796413,-97.403737
Corpus Christi,TX,2012,0,0,Texas,"corpus christi, texas",27.796413,-97.403737
Corpus Christi,TX,2013,0,0,Texas,"corpus christi, texas",27.796413,-97.403737
Corpus Christi,TX,2014,0,0,Texas,"corpus christi, texas",27.796413,-97.403737
Corpus Christi,TX,2015,0,0,Texas,"corpus christi, texas",27.796413,-97.403737
Pinellas,FL,2010,0,0,Florida,"pinellas, florida",27.876394,-82.7778579
Pinellas,FL,2011,0,0,Florida,"pinellas, florida",27.876394,-82.7778579
Pinellas,FL,2012,0,0,Florida,"pinellas, florida",27.876394,-82.7778579
Pinellas,FL,2013,1,0,Florida,"pinellas, florida",27.876394,-82.7778579
