Anti_Jewish,Anti_Islamic,state,city,latitude,longitude,date
0,0,Texas,"Tx St Univ, San Marcos",29.888411,-97.938351,2015
1,0,Texas,Beaumont,30.086154,-94.101349,2010
0,0,Texas,Beaumont,30.086154,-94.101349,2011
0,0,Texas,Beaumont,30.086154,-94.101349,2012
0,0,Texas,Beaumont,30.086154,-94.101349,2013
0,0,Texas,Beaumont,30.086154,-94.101349,2014
0,1,Texas,Beaumont,30.086154,-94.101349,2015
0,0,Louisiana,Ascension,30.2017295,-90.9438468,2010
0,0,Louisiana,Ascension,30.2017295,-90.9438468,2011
0,0,Louisiana,Ascension,30.2017295,-90.9438468,2012
1,0,Louisiana,Ascension,30.2017295,-90.9438468,2013
0,0,Louisiana,Ascension,30.2017295,-90.9438468,2014
0,0,Louisiana,Ascension,30.2017295,-90.9438468,2015
0,0,Louisiana,Calcasieu,30.2089286,-93.3388917,2010
0,0,Louisiana,Calcasieu,30.2089286,-93.3388917,2011
0,0,Louisiana,Calcasieu,30.2089286,-93.3388917,2012
0,1,Louisiana,Calcasieu,30.2089286,-93.3388917,2013
0,0,Louisiana,Calcasieu,30.2089286,-93.3388917,2014
0,1,Louisiana,Calcasieu,30.2089286,-93.3388917,2015
0,0,Texas,Austin,30.267593,-97.742988,2010
1,0,Texas,Austin,30.267593,-97.742988,2011
2,0,Texas,Austin,30.267593,-97.742988,2012
0,0,Texas,Austin,30.267593,-97.742988,2013
0,1,Texas,Austin,30.267593,-97.742988,2014
0,2,Texas,Austin,30.267593,-97.742988,2015
0,0,Florida,Pensacola,30.421309,-87.2169149,2010
0,0,Florida,Pensacola,30.421309,-87.2169149,2011
0,0,Florida,Pensacola,30.421309,-87.2169149,2012
0,0,Florida,Pensacola,30.421309,-87.2169149,2013
0,1,Florida,Pensacola,30.421309,-87.2169149,2014
0,0,Florida,Pensacola,30.421309,-87.2169149,2015
0,0,Texas,Round Rock,30.509042,-97.677217,2010
0,0,Texas,Round Rock,30.509042,-97.677217,2011
2,0,Texas,Round Rock,30.509042,-97.677217,2012
0,0,Texas,Round Rock,30.509042,-97.677217,2013
0,0,Texas,Round Rock,30.509042,-97.677217,2014
0,0,Texas,Round Rock,30.509042,-97.677217,2015
0,0,Florida,Walton,30.5640199,-86.1751759,2010
1,0,Florida,Walton,30.5640199,-86.1751759,2011
0,0,Florida,Walton,30.5640199,-86.1751759,2012
0,0,Florida,Walton,30.5640199,-86.1751759,2013
0,0,Florida,Walton,30.5640199,-86.1751759,2014
0,0,Florida,Walton,30.5640199,-86.1751759,2015
0,0,Arizona,Nogales,31.3403775,-110.9342532,2010
0,0,Arizona,Nogales,31.3403775,-110.9342532,2011
0,0,Arizona,Nogales,31.3403775,-110.9342532,2012
0,0,Arizona,Nogales,31.3403775,-110.9342532,2013
